vul_id,cve_id,class,mut_id,did_mutant_compile,did_tests_fail,imitates_vuln,ochiai,failed_tests_intersection,failed_tests,failures
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1013,True,True,False,0.433,"""org.codehaus.plexus.util.cli.shell.BourneShellTest#testBourneShellQuotingCharacters,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineNonWindows,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineBash_WithSingleQuotedArg,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineBash,org.codehaus.plexus.util.cli.shell.BourneShellTest#testArgumentsWithsemicolon,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineBash_WithWorkingDirectory""","""org.codehaus.plexus.util.cli.CommandlineTest#testCommandlineWithCommandInConstructor,org.codehaus.plexus.util.cli.CommandlineTest#testExecute,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineNonWindows,org.codehaus.plexus.util.cli.CommandlineTest#testCreateCommandInReverseOrder,org.codehaus.plexus.util.cli.CommandlineTest#testCommandlineWithoutCommandInConstructor,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineWindowsWithSeveralQuotes,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineBash,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineBash_WithWorkingDirectory,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineBash_WithSingleQuotedArg,org.codehaus.plexus.util.cli.CommandlineTest#testDollarSignInArgumentPath,org.codehaus.plexus.util.cli.CommandlineTest#testTimeOutException,org.codehaus.plexus.util.cli.CommandlineTest#testSetFile,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineWindows,org.codehaus.plexus.util.cli.CommandlineTest#testSetLine,org.codehaus.plexus.util.cli.shell.BourneShellTest#testArgumentsWithsemicolon,org.codehaus.plexus.util.cli.shell.BourneShellTest#testBourneShellQuotingCharacters""","""junit.framework.AssertionFailedError,junit.framework.AssertionFailedError,java.lang.ArrayIndexOutOfBoundsException,junit.framework.AssertionFailedError,junit.framework.AssertionFailedError,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException,junit.framework.AssertionFailedError,java.lang.ArrayIndexOutOfBoundsException,junit.framework.AssertionFailedError,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException"""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1014,True,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1015,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1016,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1017,True,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1018,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1019,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",102,True,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1020,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1021,True,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1022,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1023,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1024,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1025,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1026,True,True,False,0.2887,"""org.codehaus.plexus.util.cli.shell.BourneShellTest#testBourneShellQuotingCharacters,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineNonWindows,org.codehaus.plexus.util.cli.shell.BourneShellTest#testArgumentsWithsemicolon""","""org.codehaus.plexus.util.cli.CommandlineTest#testCreateCommandInReverseOrder,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineWindows,org.codehaus.plexus.util.cli.CommandlineTest#testCommandlineWithoutCommandInConstructor,org.codehaus.plexus.util.cli.CommandlineTest#testSetLine,org.codehaus.plexus.util.cli.CommandlineTest#testSetFile,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineWindowsWithSeveralQuotes,org.codehaus.plexus.util.cli.CommandlineTest#testGetShellCommandLineNonWindows,org.codehaus.plexus.util.cli.shell.BourneShellTest#testArgumentsWithsemicolon,org.codehaus.plexus.util.cli.shell.BourneShellTest#testBourneShellQuotingCharacters""","""junit.framework.AssertionFailedError,java.lang.ArrayIndexOutOfBoundsException,junit.framework.AssertionFailedError,junit.framework.AssertionFailedError,junit.framework.AssertionFailedError,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayIndexOutOfBoundsException"""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1027,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1028,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1029,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",103,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1030,False,False,False,0,"""""","""""",""""""
"""VUL4J-42""","""CVE-2017-1000487""","""Commandline.java""",1031,False,False,False,0,"""""","""""",""""""
